post_id,title,category,score,num_comments,author,collected_at
47655408.0,Show HN: I built a tiny LLM to demystify how language models work,technology,646,88,armanified,2026-04-06 19:24:58
47658146.0,France pulls last gold held in US for $15B gain,technology,309,176,teleforce,2026-04-06 19:24:58
47652007.0,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,161,13,karimf,2026-04-06 19:24:58
47656981.0,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,67,21,stevebmark,2026-04-06 19:24:58
47651540.0,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,317,77,vbtechguy,2026-04-06 19:24:58
47655367.0,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,108,17,ikessler,2026-04-06 19:24:58
47655466.0,Employers use your personal data to figure out the lowest salary you'll accept,technology,309,168,thisislife2,2026-04-06 19:24:58
47650312.0,A tail-call interpreter in (nightly) Rust,technology,178,42,g0xA52A2A,2026-04-06 19:24:58
47648828.0,"Eight years of wanting, three months of building with AI",technology,836,262,brilee,2026-04-06 19:24:58
47649742.0,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,193,26,desideratum,2026-04-06 19:24:58
47656335.0,Does coding with LLMs mean more microservices?,technology,49,46,jer0me,2026-04-06 19:24:58
47656659.0,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,176,51,MoltenMonster,2026-04-06 19:24:58
47640728.0,Show HN: A game where you build a GPU,technology,924,179,Jaso1024,2026-04-06 19:24:58
47658388.0,NIMBY Rails,technology,27,3,altilunium,2026-04-06 19:24:58
47652549.0,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,56,28,alvivanco,2026-04-06 19:24:58
47640380.0,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,512,231,naves,2026-04-06 19:24:58
47655058.0,OpenAI's fall from grace as investors race to Anthropic,technology,177,118,1vuio0pswjnm7,2026-04-06 19:24:58
47651479.0,From birds to brains: My path to the fusiform face area (2024),technology,36,0,everbody,2026-04-06 19:24:58
